"Interview_difficulty","Interview_experience","Offer","Company_name","Referral","process_time","sector"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",28,"Banking"
NA,NA,"No Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",28,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","College Or University",21,"Banking"
"Average Interview",NA,"No Offer","Goldman Sachs","College Or University",7,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Recruiter",90,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","Online",120,"Banking"
NA,NA,"Offer","Goldman Sachs","Other Source",2,"Banking"
"Average Interview",NA,"No Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Employee Referral",28,"Banking"
NA,NA,"Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",28,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",90,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",1,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",21,"Banking"
"Difficult Interview","Negative Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",14,"Banking"
"Average Interview",NA,"No Offer","Goldman Sachs","Online",1,"Banking"
NA,NA,"Offer","Goldman Sachs","Online",21,"Banking"
NA,NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",28,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",35,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",28,"Banking"
NA,NA,"No Offer","Goldman Sachs","College Or University",14,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",28,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Other Source",1,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Online",21,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",21,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",1,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Recruiter",60,"Banking"
"Difficult Interview",NA,"Offer","Goldman Sachs","Employee Referral",180,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Online",1,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",42,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
NA,"Positive Experience","Offer","Goldman Sachs","Online",35,"Banking"
"Easy Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
NA,"Positive Experience","No Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",1,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",NA,"Banking"
NA,"Positive Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",60,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",7,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",1,"Banking"
"Easy Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Online",35,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",60,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Online",60,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",14,"Banking"
"Easy Interview","Neutral Experience","Offer","Goldman Sachs","Employee Referral",21,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","College Or University",120,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",28,"Banking"
NA,NA,"No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",28,"Banking"
"Difficult Interview","Negative Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Employee Referral",14,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs",NA,14,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Employee Referral",7,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",2,"Banking"
"Easy Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Recruiter",28,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",60,"Banking"
"Difficult Interview",NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Goldman Sachs","College Or University",2,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",28,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",21,"Banking"
"Easy Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",5,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Recruiter",14,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","College Or University",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
NA,NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Employee Referral",120,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Recruiter",3,"Banking"
NA,NA,"Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview",NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs","College Or University",2,"Banking"
"Easy Interview","Positive Experience","No Offer","Goldman Sachs",NA,1,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs",NA,42,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
NA,"Negative Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","Online",2,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs","Recruiter",90,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
NA,"Negative Experience","No Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",NA,"Banking"
"Easy Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Easy Interview","Neutral Experience","No Offer","Goldman Sachs","Online",1,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",2,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
NA,NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",14,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs",NA,14,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",120,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs",NA,14,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Other Source",NA,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Recruiter",28,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",21,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs","Recruiter",42,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","In-Person",28,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",120,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs","College Or University",14,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs",NA,7,"Banking"
"Easy Interview","Neutral Experience","Offer","Goldman Sachs","Online",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",14,"Banking"
NA,"Neutral Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",21,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Online",120,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs","Online",120,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Staffing Agency",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",28,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Online",120,"Banking"
"Difficult Interview","Negative Experience","No Offer","Goldman Sachs","Recruiter",2,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs",NA,56,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",42,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",42,"Banking"
NA,"Neutral Experience","No Offer","Goldman Sachs","College Or University",60,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","College Or University",14,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","College Or University",2,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs",NA,1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs",NA,60,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",28,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Online",5,"Banking"
"Easy Interview",NA,"No Offer","Goldman Sachs","Recruiter",2,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",1,"Banking"
"Average Interview",NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",1,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs",NA,3,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Online",1,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","College Or University",28,"Banking"
"Easy Interview","Neutral Experience","No Offer","Goldman Sachs","Recruiter",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs",NA,2,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",1,"Banking"
"Average Interview","Negative Experience","Offer","Goldman Sachs","Online",1,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Staffing Agency",28,"Banking"
NA,"Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","College Or University",14,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","College Or University",1,"Banking"
NA,NA,"Offer","Goldman Sachs","College Or University",NA,"Banking"
"Easy Interview",NA,"No Offer","Goldman Sachs","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",28,"Banking"
NA,NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Online",1,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","Recruiter",1,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs",NA,1,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Staffing Agency",14,"Banking"
NA,NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Employee Referral",90,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",21,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",2,"Banking"
"Average Interview","Negative Experience","Offer","Goldman Sachs","Online",42,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",21,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",42,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","In-Person",NA,"Banking"
"Difficult Interview","Negative Experience","Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Goldman Sachs","Online",1,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs","Recruiter",60,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","College Or University",49,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","Online",1,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",28,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",21,"Banking"
"Easy Interview","Positive Experience","No Offer","Goldman Sachs","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs",NA,3,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Employee Referral",90,"Banking"
"Easy Interview","Positive Experience","Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Online",180,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Online",60,"Banking"
"Easy Interview","Negative Experience","No Offer","Goldman Sachs","Employee Referral",NA,"Banking"
"Difficult Interview","Neutral Experience","Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Staffing Agency",3,"Banking"
"Easy Interview","Positive Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Average Interview","Negative Experience","No Offer","Goldman Sachs","Online",14,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Goldman Sachs","Staffing Agency",28,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","Employee Referral",28,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs",NA,28,"Banking"
NA,NA,"Offer","Goldman Sachs",NA,NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",14,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",49,"Banking"
"Difficult Interview","Negative Experience","No Offer","Goldman Sachs","College Or University",28,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Online",60,"Banking"
NA,NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Employee Referral",21,"Banking"
NA,NA,"No Offer","Goldman Sachs",NA,NA,"Banking"
"Difficult Interview",NA,"Offer","Goldman Sachs","Employee Referral",60,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Employee Referral",42,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",56,"Banking"
NA,NA,"Offer","Goldman Sachs",NA,140,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",90,"Banking"
"Average Interview",NA,"No Offer","Goldman Sachs","Online",180,"Banking"
"Average Interview","Neutral Experience","Offer","Goldman Sachs","Recruiter",21,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs",NA,1,"Banking"
"Difficult Interview","Negative Experience","No Offer","Goldman Sachs","College Or University",2,"Banking"
"Average Interview","Positive Experience","No Offer","Goldman Sachs","Recruiter",21,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs","Online",1,"Banking"
"Difficult Interview","Positive Experience","Offer","Goldman Sachs",NA,14,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",NA,"Banking"
"Average Interview","Positive Experience","Offer","Goldman Sachs","Recruiter",21,"Banking"
"Difficult Interview","Positive Experience","No Offer","Goldman Sachs",NA,1,"Banking"
"Average Interview","Neutral Experience","No Offer","Deloitte","College Or University",21,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",1,"Consulting"
"Difficult Interview","Positive Experience","Offer","Deloitte","College Or University",14,"Consulting"
NA,"Negative Experience","No Offer","Deloitte",NA,NA,"Consulting"
"Easy Interview","Positive Experience","No Offer","Deloitte","Employee Referral",NA,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",NA,"Consulting"
NA,NA,"No Offer","Deloitte",NA,210,"Consulting"
NA,NA,"Offer","Deloitte",NA,NA,"Consulting"
NA,NA,"No Offer","Deloitte",NA,NA,"Consulting"
"Average Interview","Neutral Experience","Offer","Deloitte","College Or University",14,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","Staffing Agency",60,"Consulting"
NA,NA,"No Offer","Deloitte",NA,NA,"Consulting"
"Difficult Interview","Positive Experience","No Offer","Deloitte","College Or University",1,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",49,"Consulting"
"Average Interview",NA,"No Offer","Deloitte","College Or University",NA,"Consulting"
"Easy Interview",NA,"No Offer","Deloitte","College Or University",1,"Consulting"
"Average Interview",NA,"No Offer","Deloitte","College Or University",14,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",21,"Consulting"
NA,"Negative Experience","No Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",28,"Consulting"
"Average Interview",NA,"No Offer","Deloitte",NA,NA,"Consulting"
NA,"Positive Experience","Offer","Deloitte",NA,28,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",3,"Consulting"
"Average Interview","Negative Experience","No Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview","Negative Experience","No Offer","Deloitte","College Or University",14,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte",NA,NA,"Consulting"
"Average Interview","Neutral Experience","No Offer","Deloitte","College Or University",1,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",90,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",28,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",2,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",28,"Consulting"
"Easy Interview","Positive Experience","No Offer","Deloitte","College Or University",7,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",28,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",3,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",NA,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","College Or University",NA,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","Employee Referral",60,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",21,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",90,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","College Or University",60,"Consulting"
"Difficult Interview","Negative Experience","Offer","Deloitte","Recruiter",7,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",NA,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","Online",60,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","College Or University",28,"Consulting"
"Difficult Interview","Negative Experience","No Offer","Deloitte","Employee Referral",14,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",NA,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",2,"Consulting"
"Average Interview","Neutral Experience","Offer","Deloitte","Recruiter",1,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Recruiter",14,"Consulting"
"Easy Interview","Positive Experience","No Offer","Deloitte","Online",3,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",NA,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","Other Source",2,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Recruiter",NA,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","College Or University",3,"Consulting"
"Easy Interview","Positive Experience","Offer","Deloitte","Recruiter",NA,"Consulting"
"Average Interview","Neutral Experience","No Offer","Deloitte","Employee Referral",2,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Online",14,"Consulting"
"Easy Interview",NA,"Offer","Deloitte","College Or University",NA,"Consulting"
"Average Interview",NA,"Offer","Deloitte","In-Person",1,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",14,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Online",14,"Consulting"
"Easy Interview","Neutral Experience","Offer","Deloitte","College Or University",28,"Consulting"
"Average Interview","Neutral Experience","Offer","Deloitte","College Or University",2,"Consulting"
"Average Interview",NA,"Offer","Deloitte","College Or University",NA,"Consulting"
"Difficult Interview","Neutral Experience","No Offer","Deloitte","Online",2,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte","College Or University",60,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte",NA,2,"Consulting"
"Average Interview","Neutral Experience","No Offer","Deloitte",NA,1,"Consulting"
"Average Interview","Positive Experience","No Offer","Deloitte",NA,21,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Recruiter",NA,"Consulting"
"Average Interview","Positive Experience","Offer","Deloitte","Employee Referral",NA,"Consulting"
